07121807123100050697ANCHETA SOLARTE SOLARTE               409542      0000100005600524505      0000100006170417806      00001000073001025013     000010001372079140       00001000035901267438     00001000048507615        0000100002450149962      0000100002160481127      0000100003690874485      0000100006800            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
15122315123100095250ANCHETA MONOMEROS-040                 938908      0000100004550824309      00001000134002005357     0000100005450980375      00001000035001564764     00001000113001176265     000010002180089209       0000100004000570513      00001000029001148538     0000100028350            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
15122115123100088340MERCADO COMPENSAR SEG.                1034818     00001000051701649266     0000100004300938919      0000100004050523459      0000100004300554139      0000100003050859091      0000100004800863771      0000100003750969906      0000100001900483273      0000100002890765345      0000100003600946389      0000300002700402247      0000100002400417806      0000100009600777181      00001000046001093848     00001000034001504230     0000100026900            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
15122115123100081840MERCADO COMPENSAR ASEO                1034818     00001000051701649266     0000100004300938919      0000100004050859091      0000200004800554139      0000100003050863771      0000100003750969906      0000100001900483273      0000100002890765345      0000100003600946389      0000300002700402247      0000100002400417806      0000100009600777181      00001000046001093848     00001000034001134379     0000100012900            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
09112810013100038080ANCH EVEREADY-UNILEVER 32             680389      0000100007130956855      0000100006540817913      0000100011500791243      00001000079501572623     00001000129001549132     0000100004950646985      0000100008186            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
09112810013100036032ANCH JOHNSON y JOHNSON 33             1548472     00001000134001605798     000010000730012886       00001000092501589169     0000100003600999663      0000100013300646985      0000100008186            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
09112810013100036793ANCH LOREAL-ELVIVE 34                 1495881     00001000106201495879     0000100012990864205      000010001299069706       0000100010390646985      0000100008186            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
09112810013100036734ANCH LOREAL RT5 35                    1599310     00001000105001599308     00001000114001599299     000010001140069706       0000100010390646985      0000100008186            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
09112810013100026765ANCH CAREY 36                         1623710     00001000112001623714     00001000053001623717     00001000099001569855     0000100003900646985      0000100008186            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
09120710013100016990MERCADO ASOCIACION                    481129      00001000023001485325     0000100002650647925      00001000021602000171     00001000018002000084     00002000028002001068     0000200000500866863      0000100004890            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000            0000100000000
